Auto Rifles,Barrel Upgrade,Special Modifier,Crit Shot Damage ,Body Shot Damage ,Rounds Per Minute,Time To Kill Crit,Time To Kill Body,Shots To Kill Crit,Shots To Kill Body,Crit Multiplier,Magazine Size,Field Scout Upgrade,Flinch Multiplier,Base Zoom,Reload Time,Aim Down Sights ,Weapon Archetype,Visual Kick Value,Equip Speed ,Aim Assist Percentage,Introduced,Retired,,,,
Jewel of Osiris,N/A,None,86,57,138,0.86,1.30,3,4,1.50x,9,N/A,1.75x,1.7x,3.13-3.40,0.167-0.197,Lightweight,60,37,75,House Of Wolves,TBA,,,,
Six Dreg Pride II,N/A,None,86,57,138,0.86,1.30,3,4,1.50x,9,12,1.75x,1.7x,3.43-3.76,0.203-0.233,Balanced,90,34,65,House Of Wolves,TBA,,,,
Timur's Lash,N/A,None,95,64,120,1.00/0.50**,1.50',3,4,1.50x,7,12,1.75x,1.7x,3.61-3.97,0.236-0.267,Powerful,94,30,53,Vanilla,TBA,,,,
Ill Will,N/A,None,95,64,120,1.00/0.50**,1.50',3,4,1.50x,7,12,1.75x,1.7x,3.61-3.97,0.236-0.267,Powerful,90,20,50,House Of Wolves,The Taken King,,,,
The Revelator,N/A,None,77,51,164,0.73,1.09',3,4,1.50x,12,N/A,1.75x,1.7x,3.13-3.40,0.167-0.197,Lightweight,85,85,90,House Of Wolves,The Taken King,,,,
Appellant III,N/A,None,77,51,164,0.73,1.09',3,4,1.50x,12,N/A,1.75x,1.7x,3.13-3.40,0.167-0.197,Lightweight,100,71,76,The Taken King,TBA,,,,
Down and Doubt 00-0,N/A,None,77,51,164,0.73,1.09',3,4,1.50x,12,N/A,1.75x,1.7x,3.13-3.40,0.167-0.197,Lightweight,80,89,56,The Taken King,TBA,,,,
Kumakatok HC4,N/A,None,77,51,164,0.73,1.09',3,4,1.50x,12,N/A,1.75x,1.7x,3.13-3.40,0.167-0.197,Lightweight,80,71,74,The Taken King,TBA,,,,
The Water Star,N/A,None,77,51,164,0.73,1.09',3,4,1.50x,12,13,1.75x,1.7x,3.43-3.76,0.203-0.233,Balanced,60,37,90,The Taken King,TBA,,,,
Imago Loop,N/A,None,86,57,138,0.86,1.30,3,4,1.50x,12,13,1.75x,1.7x,3.43-3.76,0.203-0.233,Balanced,95,36,61,The Taken King,TBA,,,,
Byronic Hero,N/A,None,86,57,138,0.86,1.30,3,4,1.50x,12,13,1.75x,1.7x,3.43-3.76,0.203-0.233,Balanced,100,59,71,The Taken King,TBA,,,,
Eyasluna,N/A,None,86,57,138,0.86,1.30,3,4,1.50x,12,13,1.75x,1.7x,3.43-3.76,0.203-0.233,Balanced,60,60,50,The Taken King,TBA,,,,
Finnala's Peril,N/A,None,86,57,138,0.86,1.30,3,4,1.50x,12,13,1.75x,1.7x,3.43-3.76,0.203-0.233,Balanced,94,66,71,The Taken King,TBA,,,,
Gaheris-D,N/A,None,86,57,138,0.86,1.30,3,4,1.50x,12,13,1.75x,1.7x,3.43-3.76,0.203-0.233,Balanced,90,65,80,The Taken King,TBA,,,,
The Vanity,N/A,None,86,57,138,0.86,1.30,3,4,1.50x,12,13,1.75x,1.7x,3.43-3.76,0.203-0.233,Balanced,100,74,41,The Taken King,TBA,,,,
Uffern HC4,N/A,None,86,57,138,0.86,1.30,3,4,1.50x,12,13,1.75x,1.7x,3.43-3.76,0.203-0.233,Balanced,90,65,50,The Taken King,TBA,,,,
Judith-D,N/A,None,95,64,120,0.50/1.00,1.50',2/3,4,1.50x,7,12,1.75x,1.7x,3.61-3.97,0.236-0.267,Powerful,90,25,60,The Taken King,TBA,,,,
Zaouli's Bane,N/A,None,86,57,138,0.86,1.30,3,4,1.50x,12,13,1.75x,1.7x,3.43-3.76,0.203-0.233,Balanced,90,95,90,The Taken King,TBA,,,,
The Last Word,Soft Ballistics,None,75,50,225,0.53,0.80,3,4,1.50x,8,N/A,1.75x,1.7x,Pretty fast,0.167-0.197,Malcom,100,20,50,Vanilla,TBA,,,,
The Last Word,Soft Ballistics,Hip Fire,100,66,225,0.26,0.80,2,4,1.50x,8,N/A,1.75x,1.7x,Pretty fast,0.167-0.197,Reynolds,100,20,50,Vanilla,TBA,,,,
The Last Word,Aggressive Ballistics,None,81,54,225,0.53,0.80,3,4,1.50x,8,N/A,1.75x,1.7x,Pretty fast,0.167-0.197,Malcom,100,20,50,Vanilla,TBA,,,,
The Last Word,Aggressive Ballistics,Hip Fire,107,71,225,0.26,0.53,2,3,1.50x,8,N/A,1.75x,1.7x,Pretty fast,0.167-0.197,Reynolds,100,20,50,Vanilla,TBA,,,,
Thorn,Aggressive Ballistics,DoT = Y,81+(3x6),54+(3x6),164,0.73,1.09'~ ,3,4,1.50x,9,N/A,1.75x,1.7x,A bit fast,0.167-0.197,datbountydoe,80,10,60,Vanilla,TBA,,,,
Thorn,Aggressive Ballistics,None,81,54,164,0.73,1.09',3,4,1.50x,9,N/A,1.75x,1.7x,A bit fast,0.167-0.197,datbountydoe,80,10,60,Vanilla,TBA,,,,
Thorn,Field Choke,None,79,53,164,0.73,1.09',3,4,1.50x,9,N/A,1.75x,1.7x,A bit fast,0.167-0.197,datbountydoe,80,10,60,Vanilla,TBA,,,,
Hawkmoon,Aggressive Ballistics,HoldingAce,90/108,60/86,138,0.86/0.43,1.30/0.86,3/2/1',4/3/2',1.50x,13,N/A,1.75x,1.7x,3.43-3.76,0.203-0.233,Love/Life,60,60,50,Vanilla,TBA,,,,
Ace of Spades,N/A,None,86,57,138,0.86,1.30,3,4,1.50x,12,13,1.75x,1.7x,3.43-3.76,0.203-0.233,Motörhead,95,36,61,The Taken King,TBA,,,,
The First Curse,CQB Ballistics,None,95,64,120,0.50/1.00,1.50',2/3,4,1.50x,7,12,1.75x,1.7x,3.61-3.97,0.236-0.267,Get it?,80,20,90,The Taken King,TBA,,,,
Pulse Rifles       (3-round burst),Barrel Upgrade,Special Modifier,Crit Shot Damage ,Body Shot Damage ,Brst+Delay/Burst: RPM,Time To Kill Crit,Time To Kill Body,Bursts To Kill Crit,Bursts To Kill Body,Shots To Kill Crit,Shots To Kill Body,Burst Delay,Trigger Pull RPM,Crit Multiplier,Reload Time,Aim Down Sights ,Weapon Archetype,Visual Kick RecoilValue,Equip Speed ,Aim Assist Percentage,Introduced,Retired,Base Zoom,Magazine Size,Field Scout Upgrade,Flinch Multiplier
Psi Tempus III,N/A,None,30,20,360/900,1.00,1.50,3,4,7,11,0.30,113,1.5x,2.53-2.78,0.30-0.333,Stable,41,32,52,Vanilla,TBA,1.7x,21-24,42,1x
Pulsar MSm,N/A,None,25,17,415/900,0.87,1.33,3,4,8,12,0.23,133,1.5x,2.25-2.45,0.232-0.264,Lightweight,57,65,55,Vanilla,TBA,1.7x,18-24,N/A,1x
Evergreen II.I ,N/A,None,34,23,318/900,0.73,1.33,3,3,7,10,0.37,100,1.5x,2.53-2.78,0.30-0.333,Stable,79,36,57,Vanilla,TBA,1.7x,21-24,42,1x
Echo 33,N/A,None,34,23,318/900,0.73,1.33,3,3,7,10,0.37,100,1.5x,2.53-2.78,0.30-0.333,Stable,80,30,54,Vanilla,TBA,1.7x,21-24,42,1x
Primed Starfall MSc ,N/A,None,30,20,360/900,1.00,1.50,3,4,7,11,0.30,113,1.5x,2.47-2.71,0.27-0.30,Balanced,62,51,47,Vanilla,TBA,1.7x,21-33,42,1x
Painted Apollo MSc ,N/A,None,30,20,360/900,1.00,1.50,3,4,7,11,0.30,113,1.5x,2.47-2.71,0.27-0.30,Balanced,77,41,54,Vanilla,TBA,1.7x,21-33,42,1x
SilveredContinuumMSc,N/A,None,30,20,360/900,1.00,1.50,3,4,7,11,0.30,113,1.5x,2.47-2.71,0.27-0.30,Balanced,78,49,55,Vanilla,TBA,1.7x,21-33,42,1x
Oversoul Edict,N/A,None,23,16,450/900,0.80,1.33,3,5,9,13,0.20,182,1.5x,2.66-2.94,0.32-0.348,Rapid,59,60,82,The Dark Below,TBA,1.7x,27-30,42,1x
Praedyth's Timepiece,N/A,None,23,16,450/900,0.80,1.33,3,5,9,13,0.20,182,1.5x,2.66-2.94,0.32-0.348,Rapid,55,25,84,Vanilla,TBA,1.7x,27-30,42,1x
Coiled Hiss 1919,N/A,None,23,16,450/900,0.80,1.33,3,5,9,13,0.20,182,1.5x,2.66-2.94,0.32-0.348,Rapid,44,23,70,The Dark Below,House Of Wolves,1.7x,27-30,42,1x
123 Syzygy,N/A,None,23,16,450/900,0.80,1.33,3,5,9,13,0.20,182,1.5x,2.66-2.94,0.32-0.348,Rapid,57,16,84,The Dark Below,House Of Wolves,1.7x,27-30,42,1x
Skorri's Revenge,N/A,None,23,16,450/900,0.80,1.33,3,5,9,13,0.20,182,1.5x,2.66-2.94,0.32-0.348,Rapid,51,16,75,House Of Wolves,TBA,1.7x,27-30,42,1x
The Conduit,N/A,None,25,17,415/900,0.87,1.33,3,4,8,12,0.23,133,1.5x,2.25-2.45,0.232-0.264,Lightweight,45,78,67,Vanilla,House Of Wolves,1.7x,18-24,42,1x
TimeOnTarget(Vendor),N/A,None,25,17,415/900,0.87,1.33,3,4,8,12,0.23,133,1.5x,2.25-2.45,0.232-0.264,Lightweight,50,83,67,The Dark Below,House Of Wolves,1.7x,18-24,42,1x
TimeOnTarget(Vendor),N/A,None,25,17,415/900,0.87,1.33,3,4,8,12,0.23,133,1.5x,2.25-2.45,0.232-0.264,Lightweight,50,83,67,The Dark Below,House Of Wolves,1.7x,18-24,42,1x
Aegis of the Kell II,N/A,None,25,17,415/900,0.87,1.33,3,4,8,12,0.23,133,1.5x,2.25-2.45,0.232-0.264,Lightweight,58,82,65,House Of Wolves,TBA,1.7x,18-24,42,1x
Bad Seed Down,N/A,None,30,20,360/900,1.00,1.50,3,4,7,11,0.30,113,1.5x,2.47-2.71,0.27-0.30,Balanced,51,53,52,Vanilla,The Dark Below,1.7x,21-33,42,1x
Strange Suspect,N/A,None,30,20,360/900,1.00,1.50,3,4,7,11,0.30,113,1.5x,2.47-2.71,0.27-0.30,Balanced,80,50,68,Vanilla,The Dark Below,1.7x,21-33,42,1x
KAU8ConstellationScar,N/A,None,30,20,360/900,1.00,1.50,3,4,7,11,0.30,113,1.5x,2.47-2.71,0.27-0.30,Balanced,60,50,50,House Of Wolves,The Taken King,1.7x,27,42,1x
Payment VI,N/A,None,30,20,360/900,1.00,1.50,3,4,7,11,0.30,113,1.5x,2.47-2.71,0.27-0.30,Balanced,72,51,51,House Of Wolves,The Taken King,1.7x,24,42,1x
55A-Allfate,N/A,None,30,20,360/900,1.00,1.50,3,4,7,11,0.30,113,1.5x,2.47-2.71,0.27-0.30,Balanced,67,54,45,House Of Wolves,The Taken King,1.7x,27,42,1x
The Ninth Edict,N/A,None,30,20,360/900,1.00,1.50,3,4,7,11,0.30,113,1.5x,2.47-2.71,0.27-0.30,Balanced,72,59,59,House Of Wolves,TBA,1.7x,21-33,42,1x
Hopscotch Pilgrim,N/A,None,30,20,360/900,1.00,1.50,3,4,7,11,0.30,100,1.5x,2.53-2.78,0.30-0.333,Stable,65,50,50,House Of Wolves,The Taken King,1.7x,21-24,42,1x
Strangers Rifle,N/A,None,30,20,360/900,1.00,1.50,3,4,7,11,0.30,113,1.5x,2.47-2.71,0.27-0.30,Budget cuts,90,80,40,Vanilla,TBA,1.7x,21,N/A,1x
Super Pox VLO,N/A,None,34,23,318/900,0.73,1.33,3,3,7,10,0.37,100,1.5x,2.53-2.78,0.30-0.333,Marksman,65,39,37,Vanilla,The Dark Below,1.7x,21-24,42,1x
Fair And Square,N/A,None,34,23,318/900,0.73,1.33,3,3,7,10,0.37,100,1.5x,2.53-2.78,0.30-0.333,Marksman,80,21,23,Vanilla,The Dark Below,1.7x,21-24,42,1x
Three Little Words,N/A,None,34,23,318/900,0.73,1.33,3,3,7,10,0.37,100,1.5x,2.53-2.78,0.30-0.333,Marksman,62,26,23,The Dark Below,House Of Wolves,1.7x,21-24,42,1x
Spare Change.25,N/A,None,34,23,318/900,0.73,1.33,3,3,7,10,0.37,100,1.5x,2.53-2.78,0.30-0.333,Marksman,50,50,50,House Of Wolves,The Taken King,1.7x,21-24,42,1x
The Messenger,N/A,None,34,23,318/900,0.73,1.33,3,3,7,10,0.37,100,1.5x,2.53-2.78,0.30-0.333,Marksman,66,16,35,House Of Wolves,The Taken King,1.7x,21-24,42,1x
Grasp of Malok,N/A,None,23,16,450/900,0.80,1.33,3,5,9,13,0.20,182,1.5x,2.66-2.94,0.32-0.348,Rapid,59,60,82,The Taken King,TBA,1.7x,27-30,42,1x
SUROS PDX-45,N/A,None,25,17,415/900,0.87,1.33,3,4,8,12,0.23,133,1.5x,2.25-2.45,0.232-0.264,Lightweight,50,71,70,The Taken King,TBA,1.7x,18-24,42,1x
Hawksaw,N/A,None,25,17,415/900,0.87,1.33,3,4,8,12,0.23,133,1.5x,2.25-2.45,0.232-0.264,Lightweight,59,89,60,The Taken King,TBA,1.7x,18-24,42,1x
SUROS PDX-41,N/A,None,30,20,360/900,1.00,1.56,3,4,7,11,0.30,113,1.5x,2.47-2.71,0.27-0.30,Balanced,70,31,55,The Taken King,TBA,1.7x,27,42,1x
The Villainy,N/A,None,30,20,360/900,1.00,1.56,3,4,7,11,0.30,113,1.5x,2.47-2.71,0.27-0.30,Balanced,60,41,60,The Taken King,TBA,1.7x,27,42,1x
Nirwen's Mercy,N/A,None,30,20,360/900,1.00,1.56,3,4,7,11,0.30,113,1.5x,2.47-2.71,0.27-0.30,Balanced,60,59,65,The Taken King,TBA,1.7x,27,42,1x
Reflection Sum,N/A,None,30,20,360/900,1.00,1.56,3,4,7,11,0.30,100,1.5x,2.53-2.78,0.30-0.333,Marksman,80,36,54,The Taken King,TBA,1.7x,21-24,42,1x
Apple of Discord,N/A,4-burst,24,16,360/900,1.14,2.01,3,3,10,15,0.27,113,1.5x,2.47-2.71,0.27-0.30,Balanced,70,55,60,The Taken King,TBA,1.7x,27,42,1x
Herja-D,N/A,4-burst,24,16,360/900,1.00,1.50,3,3,10,15,0.27,113,1.5x,2.47-2.71,0.27-0.30,Balanced,70,45,50,The Taken King,TBA,1.7x,27,42,1x
Smite of Merain,N/A,None,30,20,360/900,1.00,1.50,3,4,7,11,0.30,100,1.5x,2.53-2.78,0.30-0.333,Stable,80,36,21,The Taken King,TBA,1.7x,21-24,42,1x
Lyudmila-D,N/A,4-burst,26,18,318/900,0.77,1.33,2,3,8,12,0.33,100,1.5x,2.53-2.78,0.30-0.333,Marksman,70,25,30,The Taken King,TBA,1.7x,21-24,42,1x
Spare Change.25,N/A,None,34,23,318/900,0.73,1.33,3,3,7,10,0.37,100,1.5x,2.53-2.78,0.30-0.333,Marksman,50,50,50,House Of Wolves,The Taken King,1.7x,21-24,42,1x
Red Death,Aggressive Ballistics,None,31,21,360/900,1.00,1.56,3,4,7,11,0.30,113,1.5x,2.2',0.250/0.200',Monster,85,50,60,Vanilla,TBA,1.7x,27,N/A,1x
Bad Juju,Smart Drift Control,None,25,17,415/900,0.87,1.33,3,4,8,12,0.23,133,1.5x,2.4',0.250,Disney villain,65,70,50,Vanilla,TBA,1.7x,24,N/A,1x
No Time To Explain,Accurized Ballistics,None,30,20,360/900,1.00,1.50,3,4,7,11,0.30,113,1.5x,?,?,Budget cuts,90,80,40,The Taken King,TBA,1.7x,?,N/A,1x
Sidearms,Barrel Upgrade,Special Modifier,Crit Shot Damage ,Body Shot Damage ,Rounds Per Minute,Time To Kill Crit,Time To Kill Body,Shots To Kill Crit,Shots To Kill Body,Crit Multiplier,Magazine Size,Field Scout Upgrade,Flinch Multiplier,Base Zoom,Reload Time,Aim Down Sights ,Weapon Archetype,Visual Kick RecoilValue,Equip Speed ,Aim Assist Percentage,Introduced,Retired,,,,
Vestian Dynasty,Smooth Ballistics,None,50,40,300,0.60,0.80,4,5,1.25,18,N/A,?,?,?,?,Commodore,80,100,90,House Of Wolves,TBA,,,,
Vestian Dynasty,Field Choke,None,51,41,300,0.60,0.80,4,5,1.25,18,N/A,?,?,?,?,Commodore,80,100,90,House Of Wolves,TBA,,,,
Vestian Dynasty,Accurized Ballistics,None,51,41,300,0.60,0.80,4,5,1.25,18,N/A,?,?,?,?,Commodore,80,100,90,House Of Wolves,TBA,,,,
Ironwreath-D,N/A,None,60,48,300,0.60,0.80,4,5,1.25,18,N/A,?,?,?,?,Metal Gear,100,54,71,The Taken King,TBA,,,,
JabberHäkke-D,N/A,None,60,48,300,0.60,0.80,4,5,1.25,18,N/A,?,?,?,?,Metal Gear,90,60,80,The Taken King,TBA,,,,
Conviction II,N/A,None,60,48,300,0.60,0.80,4,5,1.25,18,N/A,?,?,?,?,Metal Gear,80,66,89,The Taken King,TBA,,,,
Havoc Pigeon,N/A,None,61,49,255,0.70,0.93,4,5,1.25,18,N/A,?,?,?,?,Metal Gear,90,43,85,The Taken King,TBA,,,,
Crow's Eye,N/A,None,61,49,255,0.70,0.93,4,5,1.25,18,N/A,?,?,?,?,Metal Gear,90,43,85,The Taken King,TBA,,,,
Dreg's Promise,Soft Ballistics,3 Burst,32,26,???/900,0.73,0.90,?,?,1.25,18,21,?,?,?,?,Gregg,80,50,70,House Of Wolves,TBA,,,,
Dreg's Promise,CQB Ballistics,3 Burst,33,27,???/900,0.73,0.90,?,?,1.25,18,21,?,?,?,?,Gregg,80,50,70,House Of Wolves,TBA,,,,
Dreg's Promise,Aggressive Ballistics,3 Burst,35,28,???/900,0.73,0.90,?,?,1.25,18,21,?,?,?,?,Gregg,80,50,70,House Of Wolves,TBA,,,,
Sniper Rifles,Barrel Upgrade,Special Modifier,Crit Shot Damage ,Body Shot Damage ,Rounds Per Minute,Time To Kill Crit,Time To Kill Body,Shots To Kill Crit,Shots To Kill Body,Crit Multiplier,Magazine Size,Field Scout Upgrade,Flinch Multiplier,Base Zoom,Reload Time,Aim Down Sights ,Weapon Archetype,Visual Kick RecoilValue,Equip Speed ,Aim Assist Percentage,Introduced,Retired,,,,
Hieracon-LR3,N/A,None,267,107,113,0.01,0.53,1,2,2.5x,3,6,2.00x,4.0x,2.63-2.83,0.333-0.364,Lightweight,60,55,52,Vanilla,TBA,,,,
Silvered Boudicca-D,N/A,None,452,181,60,0.01,1.00,1,2,2.5x,4,6,2.00x,4.0x,2.97-3.22,0.403-0.433,Marksman,74,24,33,Vanilla,TBA,,,,
20/20 AMR7,N/A,None,217,87,138,0.01,0.43,1,2,2.5x,4,6,2.00x,4.0x,2.63-2.83,0.333-0.364,Lightweight,75,80,40,House Of Wolves,The Taken King,,,,
Subtle Nudge DN7,N/A,None,217,87,138,0.01,0.43,1,2,2.5x,4,6,2.00x,4.0x,2.63-2.83,0.333-0.364,Lightweight,56,80,49,House Of Wolves,The Taken King,,,,
Prudence II,N/A,None,250,100,113,0.01,0.53,1,2,2.5x,4,6,2.00x,4.0x,2.63-2.83,0.333-0.364,Precise,54,79,74,Vanilla,The Dark Below,,,,
Eye of Sol,N/A,None,250,100,113,0.01,0.53,1,2,2.5x,4,6,2.00x,4.0x,2.63-2.83,0.333-0.364,Precise,55,89,61,House Of Wolves,The Taken King,,,,
FINAL BOSS,N/A,None,267,107,113,0.01,0.53,1,2,2.5x,4,6,2.00x,4.0x,2.63-2.83,0.333-0.364,Precise,70,51,39,Vanilla,The Dark Below,,,,
The Chosen,N/A,None,267,107,113,0.01,0.53,1,2,2.5x,4,6,2.00x,4.0x,2.63-2.83,0.333-0.364,Precise,63,45,38,Vanilla,The Dark Below,,,,
Praedyth's Revenge,N/A,None,267,107,113,0.01,0.53,1,2,2.5x,4,6,2.00x,4.0x,2.63-2.83,0.333-0.364,Precise,80,49,20,Vanilla,TBA,,,,
Broken Truth LR1,N/A,None,334,134,88,0.01,0.68,1,2,2.5x,3,6,2.00x,4.0x,2.79-3.01,0.387-0.413,Unknown,58,59,56,Vanilla,The Dark Below,,,,
Epitaph 2261,N/A,None,334,134,88,0.01,0.68,1,2,2.5x,4,6,2.00x,4.0x,2.79-3.01,0.387-0.413,Unknown,65,45,51,Vanilla,The Dark Below,,,,
Low-Grade Humility,N/A,None,334,134,88,0.01,0.68,1,2,2.5x,4,6,2.00x,4.0x,2.79-3.01,0.387-0.413,Unknown,60,50,50,House Of Wolves,The Taken King,,,,
Violator XII,N/A,None,334,134,88,0.01,0.68,1,2,2.5x,3,6,2.00x,4.0x,2.79-3.01,0.387-0.413,Unknown,70,34,27,House Of Wolves,The Taken King,,,,
Amplified Geo-D6,N/A,None,334,134,88,0.01,0.68,1,2,2.5x,3,6,2.00x,4.0x,2.79-3.01,0.387-0.413,Unknown,73,34,30,House Of Wolves,The Taken King,,,,
LDR-5001,N/A,None,388,156,72,0.01,0.83,1,2,2.5x,4,6,2.00x,4.0x,2.85-3.08,0.37-0.40,Balanced,79,51,64,The Dark Below,House Of Wolves,,,,
Y-09LongbowSynthesis,N/A,None,388,156,72,0.01,0.83,1,2,2.5x,5,6,2.00x,4.0x,2.85-3.08,0.37-0.40,Balanced,59,58,68,The Dark Below,House Of Wolves,,,,
Her Benevolence,N/A,None,388,156,72,0.01,0.83,1,2,2.5x,4,6,2.00x,4.0x,2.85-3.08,0.37-0.40,Balanced,72,43,40,House Of Wolves,TBA,,,,
Shadow of Veils,N/A,None,388,156,72,0.01,0.83,1,2,2.5x,4,6,2.00x,4.0x,2.85-3.08,0.37-0.40,Balanced,70,51,69,House Of Wolves,TBA,,,,
The Supremacy,N/A,None,388,156,72,0.01,0.83,1,2,2.5x,4,6,2.00x,4.0x,2.85-3.08,0.37-0.40,Balanced,72,49,63,Vanilla,Vanilla,,,,
Black Hammer,N/A,None,452,181,60,0.01,1.00,1,2,2.5x,3,6,2.00x,4.0x,2.97-3.22,0.403-0.433,Marksman,74,28,39,The Dark Below,TBA,,,,
Efrideet's Spear,N/A,None,452,181,60,0.01,1.00,1,2,2.5x,3,6,2.00x,4.0x,2.97-3.22,0.403-0.433,Marksman,79,39,25,The Dark Below,TBA,,,,
Weyloran's March,N/A,None,250,100,113,0.01,0.53,1,2,2.5x,4,6,2.00x,4.0x,?,?,Unknown,60,71,79,The Taken King,TBA,,,,
Glass Promontory,N/A,None,250,100,113,0.01,0.53,1,2,2.5x,4,6,2.00x,4.0x,?,?,Unknown,55,89,61,The Taken King,TBA,,,,
Uzume RR4,N/A,None,250,100,113,0.01,0.53,1,2,2.5x,4,6,2.00x,4.0x,?,?,Unknown,88,66,31,The Taken King,TBA,,,,
Extrasolar RR4,N/A,None,267,107,113,0.01,0.53,1,2,2.5x,4,6,2.00x,4.0x,2.63-2.83,0.333-0.364,Lightweight,80,45,66,The Taken King,TBA,,,,
Tao Hua Yuan,N/A,None,267,107,113,0.01,0.53,1,2,2.5x,4,6,2.00x,4.0x,2.63-2.83,0.333-0.364,Lightweight,80,54,36,The Taken King,TBA,,,,
Tamar-D,N/A,None,334,134,88,0.01,0.68,1,2,2.5x,3,6,2.00x,4.0x,2.79-3.01,0.387-0.413,Precise,70,59,65,The Taken King,TBA,,,,
Antinomy XVI,N/A,None,334,134,88,0.01,0.68,1,2,2.5x,3,6,2.00x,4.0x,2.79-3.01,0.387-0.413,Precise,40,41,69,The Taken King,TBA,,,,
Aoife Rua-D,N/A,None,334,134,88,0.01,0.68,1,2,2.5x,3,6,2.00x,4.0x,2.79-3.01,0.387-0.413,Precise,50,50,60,The Taken King,TBA,,,,
1000-Yard Stare,N/A,None,388,156,72,0.01,0.83,1,2,2.5x,4,6,2.00x,4.0x,2.85-3.08,0.37-0.40,Balanced,70,54,56,The Taken King,TBA,,,,
Stillpiercer,N/A,None,388,156,72,0.01,0.83,1,2,2.5x,4,6,2.00x,4.0x,2.85-3.08,0.37-0.40,Balanced,40,59,51,The Taken King,TBA,,,,
Eirene RR4,N/A,None,388,156,72,0.01,0.83,1,2,2.5x,4,6,2.00x,4.0x,2.85-3.08,0.37-0.40,Balanced,80,51,21,The Taken King,TBA,,,,
Defiance of Yasmin,N/A,None,334,134,88,0.01,0.68,1,2,2.5x,4,6,2.00x,4.0x,2.79-3.01,0.387-0.413,Precise,60,59,69,The Taken King,TBA,,,,
Patience And Time,CQB Ballistics,None,334,134,88,0.01,0.68,1,2,2.5x,4,6,2.00x,7.0x/5.0x,?,?,OpTic_Faze,50,20,65,Vanilla,TBA,,,,
Icebreaker,Accurized Ballistics,None,398,160,72,0.01,0.83,1,2,2.5x,6,N/A,2.00x,5.0x,?,?,ice ice baby,90,40,50,Vanilla,TBA,,,,
No Land Beyond,Accurized Ballistics,15%,233/267,126/145,?,0.01,3.00,1,2,2.5x,6,N/A,2.00x,4.0x,?,?,op af,90,40,50,The Dark Below,TBA,,,,
Zen Meteor,N/A,None,417,167,72,0.01,0.83,1,2,2.5x,4,6,2.00x,4.0x,2.85-3.08,0.37-0.40,Balanced,70,54,56,The Taken King,TBA,,,,
QueenBreakers Bow,Marksman Sights,,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Railgun,60,50,80,House Of Wolves,TBA,,,,
QueenBreakers Bow,Combat Sights,,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Railgun,60,50,80,House Of Wolves,TBA,,,,
Hereafter,Smooth Ballistics,None,334,134,88,0.01,0.68,1,2,2.5x,3,6,2.00x,4.0x,2.79-3.01,0.387-0.413,My Brand,80,70,75,The Taken King,TBA,,,,
Black Spindle,N/A,None,452,181,60,0.01,1.00,1,2,2.5x,3,6,2.00x,4.0x,2.97-3.22,0.403-0.433,Dank,74,28,39,The Dark Below,TBA,,,,
Machine Guns,Barrel Upgrade,Special Modifier,Crit Shot Damage ,Body Shot Damage ,Rounds Per Minute,Time To Kill Crit,Time To Kill Body,Shots To Kill Crit,Shots To Kill Body,Crit Multiplier,Magazine Size,Field Scout Upgrade,Flinch Multiplier,Base Zoom,Total Kills w/field scout,Aim Down Sights ,Weapon Archetype,Visual Kick RecoilValue,Equip Speed ,Aim Assist Percentage,Introduced,Retired,Reload Time,,,
Xerxes-C,Linear Compensator,Focus Fire,97,77,200,0.30/0.60,0.60,2/3',3,1.25x,23,N/A,2.00x,1.5x,N/A,0.437-0.468,Powerful,67,30,24,Vanilla,TBA,5.24-5.69,,,
Xerxes-C,Aggressive Ballistics,Focus Fire,97,77,200,0.30/0.60,0.60,2/3',3,1.25x,23,N/A,2.00x,1.5x,N/A,0.437-0.468,Powerful,67,30,24,Vanilla,TBA,5.24-5.69,,,
Xerxes-C,Smart Drift Control,Focus Fire,97,77,200,0.30/0.60,0.60,2/3',3,1.25x,23,N/A,2.00x,1.5x,N/A,0.437-0.468,Powerful,67,30,24,Vanilla,TBA,5.24-5.69,,,
Xerxes-C,Smart Drift Control,None,73,58,300,0.40,0.60/0.40,3,4/3',1.25x,23,N/A,2.00x,1.5x,N/A,0.437-0.468,Powerful,67,30,24,Vanilla,TBA,5.24-5.69,,,
The Culling,Smart Drift Control,None,25,20,900,0.46,0.60,8,10,1.25x,74,135,2.00x,1.5x,25,0.402-0.432,Rapid,56,34,70,Vanilla,The Dark Below,4.82-5.20,,,
The Culling,Soft Ballistics,None,24,19,900,0.53,0.66,9,11,1.25x,74,135,2.00x,1.5x,22,0.402-0.432,Rapid,56,34,70,Vanilla,The Dark Below,4.82-5.20,,,
Prestige IV,Smart Drift Control,None,25,20,900,0.46,0.60,8,10,1.25x,87,135,2.00x,1.5x,25,0.402-0.432,Rapid,52,41,75,Vanilla,The Dark Below,4.82-5.20,,,
Song of Ir Yût,Smart Drift Control,None,25,20,900,0.46,0.60,8,10,1.25x,87,N/A,2.00x,1.5x,16,0.402-0.432,Rapid,58,50,80,The Dark Below,TBA,4.82-5.20,,,
Backscratcher 9.0,Smart Drift Control,None,25,20,900,0.46,0.60,8,10,1.25x,87,135,2.00x,1.5x,25,0.402-0.432,Rapid,80,30,30,House Of Wolves,The Taken King,4.82-5.20,,,
